title;summary;last_updated;category;url;actual_time;publication_date
'My actions were disgusting and shameful' - Diddy apologises ahead of sentencing;The hip-hop mogul is about to be sentenced after his conviction on prostitution-related charges.;;General News;;;
Synagogue attacker 'may have been influenced by extreme Islamist ideology,' police say;Adrian Daulby, 53, and Melvin Cravitz, 66, were both killed as they tried to prevent the attacker entering the building.;;General News;;;
Watch: Massive oil refinery fire turns night skies orange over Los Angeles ;Chevron confirmed that no injuries were reported at their refinery and all personnel were accounted for.;7 hrs ago;US & Canada;https://www.bbc.com/news/videos/c39ry4ge98zo;2025-10-03 13:45:09.414989;2025-10-03
Taylor Swift: The Life of a Showgirl is a triumphant pop victory lap;Taylor Swift's 12th album is a breathtakingly fun pop record, capturing the joy of falling in love.;17 hrs ago;Culture;https://www.bbc.com/news/articles/cn4wpe5z52qo;2025-10-03 03:45:09.416615;2025-10-03
'No good outcome' - voters across US share concerns about shutdown;There was anxiety and exasperation among six Americans the BBC spoke to about the ongoing government shutdown.;4 hrs ago;US & Canada;https://www.bbc.com/news/articles/c4gjyzv6vv8o;2025-10-03 16:45:09.418167;2025-10-03
I saw evil as attacker tried to barge into synagogue, rabbi tells BBC;"Rabbi Daniel Walker tells the BBC how he held the doors of his synagogue shut as the attacker ""body charged"" them as he tried to get inside.";;General News;https://www.bbc.com/news/articles/cwy9lkeqyzyo;;
Synagogue attacker was on bail after rape arrest;Jihad Al-Shamie was a weightlifting enthusiast who rarely spoke to his neighbours, one resident said.;;General News;https://www.bbc.com/news/articles/c0q7y72kppgo;;
'Shocked but not surprised': Jewish community reacts to synagogue attack;Jewish people in Manchester say the attack was not unexpected after a rise in antisemitism. ;;General News;https://www.bbc.com/news/articles/cdr64nnjlv1o;;
Synagogue attack victims 'died saving others';Tributes are being paid to Melvin Cravitz and Adrian Daulby, who were both killed in the attack.;;General News;https://www.bbc.com/news/articles/cly6eve5p06o;;
Watch: 'I worried my music would dry up if I was happy,' Swift tells BBC;The global superstar spoke to Radio 1's Greg James about how her new album reflects her current era.;12 hrs ago;Culture;https://www.bbc.com/news/videos/ce3y7kpdqy9o;2025-10-03 08:45:09.422676;2025-10-03
What has Sean 'Diddy' Combs been convicted of and how many years is he facing in prison?;The rapper is set to face a judge for sentencing on Friday and faces decades behind bars.;19 hrs ago;US & Canada;https://www.bbc.com/news/articles/c0qz32wzeego;2025-10-03 01:45:09.424189;2025-10-03
'It was very tough but I love life' - ex-hostage whose family were killed on 7 October;Eli Sharabi reflects on finding out, after release, his wife and children had been killed in the attacks.;15 hrs ago;Middle East;https://www.bbc.com/news/articles/cwyw2pgjg1no;2025-10-03 05:45:09.425712;2025-10-03
Ghost of Yōtei: PlayStation puts blockbusters back on the menu ;Sony's latest PlayStation blockbuster is a long-awaited return to its trusted single-player formula.;11 hrs ago;Newsbeat;https://www.bbc.com/news/articles/c2lxy1w121lo;2025-10-03 09:45:09.427176;2025-10-03
Keeping Up Appearances star Patricia Routledge dies at 96;She also starred in Alan Bennett's TV monologues and played the BBC's amateur sleuth Hetty Wainthropp.;8 hrs ago;Culture;https://www.bbc.com/news/articles/czdjegvjz3do;2025-10-03 12:45:09.431489;2025-10-03
Is it a cold, flu or Covid – and how to avoid the worst;BBC Morning Live's Dr Oscar Duke shares his advice on how to identify whether you have cold, flu or Covid and how to look after yourself.;20 hrs ago;Health;https://www.bbc.com/news/articles/cly1rryv2ryo;2025-10-03 00:45:09.432942;2025-10-03
Vaccine breakthrough for deadly elephant virus;A vaccine against a deadly disease that affects young elephants is shown to be effective in a world-first trial.   ;12 hrs ago;Surrey;https://www.bbc.com/news/articles/cjd1j02y88do;2025-10-03 08:45:09.434548;2025-10-03
Blackout in Spain and Portugal 'first of its kind', report finds;"The massive blackout that hit the Iberian peninsula is the first known
blackout caused by overvoltage.";8 hrs ago;Europe;https://www.bbc.com/news/articles/cg7d4vjdlrmo;2025-10-03 12:45:09.435970;2025-10-03
WSL: Man Utd end Chelsea's 100% record in thrilling draw - reaction & report;Reaction as Manchester United end Chelsea's 100% record in the Women's Super League this season with thrilling draw.;;General News;;;
Championship: Wrexham and Birmingham level in closing stages;Follow live text commentary, score updates and match stats from Wrexham vs Birmingham City in the Championship;;General News;;;
Postecoglou retains Forest support but pressure growing;Ange Postecoglou retains the immediate support of the Nottingham Forest hierarchy but pressure is growing following a winless start to his reign.;3 hrs ago;Premier League;https://www.bbc.com/sport/football/articles/cg42wngdrzyo;2025-10-03 17:45:09.438800;2025-10-03
'Tuchel ends days of starstruck coaches automatically picking big names';Thomas Tuchel's decision to ignore Jude Bellingham's desire to be in his England squad shows he will not get star treatment, writes Phil McNulty.;7 hrs ago;England Men;https://www.bbc.com/sport/football/articles/cqje12gqpywo;2025-10-03 13:45:09.440182;2025-10-03
